Label,flow_duration,total_fwd_packets,total_bwd_packets,fwd_packet_length_max,bwd_packet_length_max,flow_bytes_per_sec,flow_packets_per_sec,syn_flag_count,ack_flag_count,rst_flag_count
Normal,37.42671776482318,2,10,182.19528194014794,1182.9804906136826,1700.3047464039607,15.39242635420874,2,1,0
BruteForce,2688.0989483277936,4,7,1468.1000766386944,869.826096849328,1386.3315640460366,19.371559452037133,1,63,0
DDoS,17.697775859035723,143,14,571.190784093394,1042.5314329791436,6096.35162129368,2458.404985025033,1,2,1
Normal,60.76594034313865,13,1,1238.716699363662,511.3673961795467,8065.9153861526565,20.768330623659132,0,1,0
Normal,47.71475363481203,17,15,264.9080842566764,1410.812319328092,7822.523944686823,75.15111648261471,1,1,1
Normal,86.58352913316797,6,1,208.22213512527742,40.18093284054658,5481.725788959007,40.99884322718993,2,0,0
Normal,3.3077470901576196,11,13,973.9396950718292,151.39301488413594,6423.048155591658,48.466476080932075,2,3,1
PortScan,64.42240596275713,19,0,41.20762163067546,0.0,2656.1729781102013,26.68175820264198,20,3,1
Normal,76.31859296330495,16,3,171.80468243997765,1417.5774394739217,5557.087015760759,55.349146914933264,0,2,1
DDoS,75.97270826191188,174,4,883.8809484973831,735.8565055823868,2156.244897473302,2758.5343512034506,2,4,0
Normal,88.61878931284296,1,16,127.40923712697743,864.6911781105324,9290.749201785307,18.28204827532213,2,3,0
BruteForce,1491.1218876535922,10,12,1218.2444160178295,1353.8067825938474,6812.761683371588,14.768232581174264,2,61,1
DDoS,92.78822515860486,197,4,1363.958870357554,1280.1515309032286,5689.975757533736,4228.835325331069,1,4,0
Normal,33.33239432210706,19,12,943.1914548366501,1292.9278197815258,2546.7086481750935,35.21766481668958,2,3,1
Normal,50.37062073347916,14,7,1032.5146538119195,557.678402796125,4148.884049111064,80.68754852299253,2,3,0
Normal,1.5065583619607787,3,3,83.15469691803385,1245.8217570237812,7824.145738686676,34.797125166357375,1,4,0
Normal,0.7950629715987921,9,5,109.46578032912436,103.96590170128661,2470.1425924190908,62.67296701056394,1,4,0
Normal,24.08864938310684,8,12,269.50583398908014,730.4467119560512,1375.6862593252797,84.27508485014329,1,1,1
Normal,10.170638994194617,11,12,410.7427009978159,356.11040839251893,3142.801038832467,69.90737239518211,0,1,1
Normal,26.09511565678179,15,7,1139.7841752597808,53.69667745600915,7965.270300940065,7.838543957108032,0,4,0
Normal,17.7866251233869,6,12,653.1438705193486,925.8162874378959,8842.849227358176,20.084819263652818,1,3,1
Normal,2.9491504813809595,2,2,117.37453012004478,114.269839443651,4202.196985524823,87.48476788829772,0,1,0
Normal,90.93948422596434,1,14,1278.9675934270267,180.23885462878968,7834.451256268425,47.651094677922124,2,4,0
Normal,0.9214908257502633,3,16,1490.7400538654417,122.61763643079543,3389.0179110621966,60.248493683115626,0,4,1
Normal,73.63460621927483,18,7,682.53943905759,1462.5713288710583,5137.026736314819,3.420829846141594,0,2,1
DDoS,15.299573903259702,163,4,767.6460083633572,58.858034913831794,299.82621763145687,3545.1651653743006,2,2,0
Normal,91.23173923776004,17,5,117.76415880144764,404.6346823350356,7148.759165636781,43.65478964845848,1,4,1
Normal,89.29031436502959,2,14,574.5261463309465,977.9977191348507,7215.238298003877,68.93340624800275,2,4,0
Normal,65.42472452228881,19,9,557.7065398351748,1235.0748198548258,1092.0168907035686,28.17029347873547,2,4,1
Normal,67.25619156508046,9,5,1448.6872694723365,912.3052864457018,3652.1709168723287,74.64519954723261,2,1,1
Normal,0.6333802827718855,8,2,990.647263740395,1464.7526345311405,4887.112096934956,67.41869014544072,1,0,0
Normal,98.48866945474884,10,5,1173.2747403703822,506.5623132274612,7763.653824018558,51.461457837196804,0,1,0
Normal,87.79547709722385,9,3,192.4980758971339,708.008238401156,8253.704665106601,38.18944085191641,2,4,0
PortScan,89.5211119504362,8,0,86.41983554441721,0.0,7219.671244925113,30.897163806177105,31,1,1
BruteForce,1668.1712380585845,7,8,287.3292034608461,1022.5460893798338,2236.8848232336827,53.97485331268071,0,58,1
DDoS,34.544214172588205,192,10,1290.283467426207,321.10059467945445,3627.7731953171537,4999.903896976868,0,0,0
Normal,89.37550004413903,2,2,228.55856288670086,748.0016101784353,2548.2984218546967,45.36507449266595,2,0,1
Normal,29.22254112230412,9,14,658.3068285042888,1463.9389751186588,6408.134560368575,32.7368723353774,2,4,1
Normal,56.31488317988607,9,4,80.47542263063112,1294.5347634997697,6508.760831068055,88.1101387573541,2,3,0
Normal,10.063124137153851,19,12,951.4414413006577,287.7050963538091,260.0746783017106,31.711079918657283,0,3,1
Normal,92.20336745026174,9,14,722.8871249216413,269.67884646485555,7343.941596269245,67.54442405068332,2,3,1
Normal,14.162968731344213,2,16,746.9501586601672,1242.591776055242,2372.15380882426,90.57772168156863,1,2,1
Normal,22.56719089246769,19,5,152.42836588766446,298.3417521447064,8033.621246361208,65.0381215620018,0,3,0
PortScan,55.857602397008684,16,0,15.105756794245263,0.0,8344.864303620861,37.226387890497485,11,4,0
Normal,76.43289072127685,14,4,845.6752361738335,271.13795111793223,7990.062894385976,30.42358090678512,0,4,1
Normal,61.97319546303627,1,3,1444.2601300159986,21.994293051365908,4140.318887978214,85.4867727849205,2,2,0
Normal,23.290177888735602,13,1,49.83402492825972,1313.105469200165,3548.192293269051,49.50568270012833,0,4,1
Normal,0.1942099484962844,2,4,1384.0704142373447,1168.5066632612104,4407.698738031718,59.74342819967614,0,4,0
Normal,75.73934297271317,14,9,719.3466868973769,705.8826439334854,5319.643013266263,60.033680788536444,2,2,0
Normal,98.52221185851826,1,1,315.1717882364613,239.36850002589432,2574.207261538631,53.84637138996995,0,2,0
BruteForce,3279.166324971154,15,16,998.3191244268378,1209.6265623095235,9323.200295407098,93.20130624641682,2,77,1
DDoS,46.074641153845874,164,3,775.5783258794395,539.0509138967886,5090.243104993397,4176.163959347861,2,4,0
PortScan,90.38634941377074,9,0,72.41401443642597,0.0,824.6503555852672,5.001727506394989,22,2,0
PortScan,41.04378254452317,8,0,8.371433638024328,0.0,9972.30069880543,51.06093900298884,35,0,0
Normal,52.540915015922415,7,17,709.8934127773173,648.4306574163052,4892.629999813912,56.991199943156346,2,1,1
PortScan,47.76526376282876,9,0,46.71689714625785,0.0,9475.18980785476,92.63028817300635,46,2,0
Normal,44.817624879285944,9,12,1033.6153921940888,1143.024409067292,3963.8088059513766,7.896108393241517,2,2,1
Normal,77.54155785246118,11,8,709.2229785163563,1248.1028818267794,2325.131945796708,79.11837749091451,2,2,0
Normal,52.724213836222255,4,16,586.1943163824625,665.3201202824861,7395.113090220929,64.59945034010369,1,2,0
Normal,31.74004049031909,7,3,94.86636214052635,349.56019851939044,4381.6937037990365,73.51742247892676,2,1,1
Normal,25.890000949081987,7,4,740.7698969412643,230.47399271703472,8826.440314089483,29.878831332776453,1,4,0
Normal,3.8709569650465956,4,7,364.67254363264215,511.12180688007334,4698.461827461097,74.91466070776403,1,3,0
DDoS,58.3611966721163,57,15,79.87119693847717,1202.6752292535296,3449.572540061217,4493.959736926094,2,0,0
Normal,23.07314539856332,17,11,495.5703456561529,410.9727379672346,9670.1118003704,67.89108972059127,0,4,0
Normal,14.898578809436671,3,16,131.20352809170765,71.27994922056152,8320.708690447333,78.9152240449662,1,2,0
Normal,65.417613386385,9,14,869.6127343928533,846.414130521229,2135.433142945204,78.54735876705637,0,4,0
Normal,68.15280485637273,5,13,755.5035970696149,50.420440262526846,4939.6667159474955,54.892906018626675,2,0,0
DDoS,75.24027373654083,86,9,1188.6434960941315,1327.3877111809388,1221.8342639726275,1727.9308060331102,0,4,1
Normal,50.40733194422529,8,18,401.45031545887446,1017.0907193076769,1166.6709356210035,25.11184917801749,0,4,1
BruteForce,1288.1924530646902,16,3,557.2935982050042,385.2680355201642,8548.66068220964,4.316032843240185,2,55,0
DDoS,93.64064106448296,60,5,1033.4255829576095,703.6372561939617,9325.075492278536,3565.7104263277593,0,1,1
Normal,80.7563568852697,16,2,1489.4167803472671,1108.8252446224099,7414.443433256023,42.433048521018684,2,3,1
Normal,63.59578885261791,18,17,1356.2546361696818,1373.5257503357818,9893.443343110304,10.398723256307402,0,4,1
DDoS,30.44172326375975,119,16,781.2373476652168,1311.6806425900616,548.2605221280396,1596.0629047470993,1,1,0
DDoS,98.29619766986009,76,13,1016.9209437999208,104.29728044239722,3381.943234917953,3699.887392362518,2,3,1
DDoS,27.486203102474644,91,11,797.8834898639687,121.71195156679666,1408.0306716416635,4238.633008159858,0,0,1
DDoS,20.345426506844067,124,8,652.2082978566933,896.585558175949,7841.983182216986,2201.080366297706,1,0,0
Normal,44.271195967279624,5,5,903.4465343074445,744.7441032954113,8915.088946104299,69.7323801872869,1,4,1
Normal,5.778373014167607,8,2,579.7488379883561,439.4056104032059,4526.473539337857,49.135780777238914,0,3,1
Normal,97.8515970207119,16,4,420.2825336115911,1464.259633789884,8309.127720986742,66.80892483597685,0,0,0
PortScan,58.88451228600084,1,0,72.89940621682484,0.0,8491.453984524174,86.34870909131382,42,2,0
Normal,55.73951395725111,11,2,1307.9601193210444,1030.9761725839335,1482.9355675383893,38.04213932335602,1,1,0
Normal,65.61404836198201,11,3,432.0364590759728,271.9945391644724,3832.1577492768515,69.13565469827063,2,4,1
